,0,1
gPotato,2007-07-12,"2,136,520"
Foxy Bingo,2008-04-04,"252,216"
MySpace,2008-07-01,"359,420,698"
Baby Names,2008-10-24,"846,742"
Elance,2009-01-01,"1,291,178"
Money Bookers,2009-01-01,"4,483,605"
DivX SubTitles,2010-01-01,"783,058"
Neteller,2010-05-17,"3,619,948"
Paddy Power,2010-10-25,"590,954"
Gawker,2010-12-11,"1,247,574"
7k7k,2011-01-01,"9,121,434"
Duowan.com,2011-01-01,"2,639,894"
Zoosk (2011),2011-01-01,"52,578,183"
Fling,2011-03-10,"40,767,652"
Dangdang,2011-06-01,"4,848,734"
QIP,2011-06-01,"26,183,992"
Sony,2011-06-02,"37,103"
hackforums.net,2011-06-25,"191,540"
Battlefield Heroes,2011-06-26,"530,270"
Civil Online,2011-07-10,"7,830,195"
Android Forums,2011-10-30,"745,355"
Dodonew.com,2011-12-01,"8,718,404"
hemmelig.com,2011-12-21,"28,641"
Zhenai.com,2011-12-21,"5,024,908"
Stratfor,2011-12-24,"859,777"
Tianya,2011-12-26,"29,020,808"
17173,2011-12-28,"7,485,802"
126,2012-01-01,"6,414,191"
Taobao,2012-01-01,"21,149,008"
VK,2012-01-01,"93,338,602"
YouPorn,2012-02-21,"1,327,567"
Gamigo,2012-03-01,"8,243,604"
JobStreet,2012-03-07,"3,883,455"
Last.fm,2012-03-22,"37,217,682"
LinkedIn,2012-05-05,"164,611,595"
WHMCS,2012-05-21,"134,047"
League of Legends,2012-06-11,"339,487"
Disqus,2012-07-01,"17,551,044"
Dropbox,2012-07-01,"68,648,009"
War Inc.,2012-07-04,"1,020,136"
Yahoo,2012-07-11,"453,427"
Xiaomi,2012-08-01,"7,088,010"
Lookbook,2012-08-24,"1,074,948"
Netlog,2012-11-01,"49,038,354"
Heroes of Newerth,2012-12-17,"8,089,103"
FaceUP,2013-01-01,"87,633"
JD,2013-01-01,"77,449,341"
Heroes of Gaia,2013-01-04,"179,967"
tumblr,2013-02-28,"65,469,298"
Brazzers,2013-04-01,"790,724"
Dungeons & Dragons Online,2013-04-02,"1,580,933"
Neopets,2013-05-05,"26,892,897"
Non Nude Girls,2013-05-21,"75,383"
AhaShare.com,2013-05-30,"180,468"
Badoo,2013-06-01,"112,005,531"
Yam,2013-06-02,"13,258,797"
Nexus Mods,2013-07-22,"5,915,013"
Lord of the Rings Online,2013-08-01,"1,141,278"
Lounge Board,2013-08-01,"45,018"
OwnedCore,2013-08-01,"880,331"
Evite,2013-08-11,"100,985,047"
imgur,2013-09-01,"1,749,806"
Yatra,2013-09-01,"5,033,997"
Win7Vista Forum,2013-09-03,"202,683"
Crack Community,2013-09-09,"19,210"
iMesh,2013-09-22,"49,467,477"
Adobe,2013-10-04,"152,445,165"
Mecho Download,2013-10-31,"437,928"
We Heart It,2013-11-03,"8,600,635"
XSplit,2013-11-07,"2,983,472"
Vodafone,2013-11-30,"56,021"
Pixel Federation,2013-12-04,"38,108"
Torrent Invites,2013-12-12,"352,120"
Astropid,2013-12-19,"5,788"
HiAPK,2014-01-01,"13,873,674"
ReverbNation,2014-01-01,"7,040,725"
Snapchat,2014-01-01,"4,609,615"
ThisHabbo Forum,2014-01-01,"612,414"
WPT Amateur Poker League,2014-01-04,"148,366"
Bitcoin Security Forum Gmail Dump,2014-01-09,"4,789,599"
Verified,2014-01-10,"16,919"
Bell (2014 breach),2014-02-01,"20,902"
Cannabis.com,2014-02-05,"227,746"
Coupon Mom / Armor Games,2014-02-08,"11,010,525"
Tesco,2014-02-12,"2,239"
Forbes,2014-02-15,"1,057,819"
Kickstarter,2014-02-16,"5,176,463"
Muslim Directory,2014-02-17,"37,784"
UN Internet Governance Forum,2014-02-20,"3,200"
Spirol,2014-02-22,"55,622"
Rambler,2014-03-01,"91,436,280"
Quantum Booter,2014-03-18,"48,592"
Boxee,2014-03-29,"158,093"
BigMoneyJobs,2014-04-03,"36,789"
CafeMom,2014-04-10,"2,628,148"
NextGenUpdate,2014-04-22,"1,194,597"
Business Acumen Magazine,2014-04-25,"26,596"
Fridae,2014-05-02,"35,368"
Bitly,2014-05-08,"9,313,136"
Avast,2014-05-26,"422,959"
Manga Traders,2014-06-09,"855,249"
Domino's,2014-06-13,"648,231"
Sumo Torrent,2014-06-21,"285,191"
Black Hat World,2014-06-23,"777,387"
PoliceOne,2014-07-01,"709,926"
Insanelyi,2014-07-22,"104,097"
Pokémon Creed,2014-08-08,"116,465"
diet.com,2014-08-10,"1,383,759"
Banorte,2014-08-18,"2,107,000"
Bin Weevils,2014-09-01,"1,287,073"
Powerbot,2014-09-01,"503,501"
Yandex Dump,2014-09-07,"1,186,564"
mail.ru Dump,2014-09-10,"16,630,988"
Tout,2014-09-11,"652,683"
BTC-E,2014-10-01,"568,340"
ILikeCheats,2014-10-18,"188,847"
Bot of Legends,2014-11-13,"238,373"
Malwarebytes,2014-11-15,"111,623"
Warframe,2014-11-24,"819,478"
Acne.org,2014-11-25,"432,943"
Team SoloMid,2014-12-22,"442,166"
Lizard Squad,2015-01-16,"13,451"
PSX-Scene,2015-02-01,"341,118"
Xbox-Scene,2015-02-01,"432,552"
Flashback,2015-02-11,"40,256"
MyFHA,2015-02-18,"972,629"
StarNet,2015-02-26,"139,395"
000webhost,2015-03-01,"14,936,670"
GameTuts,2015-03-01,"2,064,274"
HongFire,2015-03-01,"999,991"
Snail,2015-03-14,"1,410,899"
SweClockers.com,2015-04-01,"254,867"
SC Daily Phone Spam List,2015-04-14,"32,939,105"
Telecom Regulatory Authority of India,2015-04-27,"107,776"
Kimsufi,2015-05-01,"504,565"
OVH,2015-05-01,"452,899"
Evermotion,2015-05-07,"435,510"
Спрашивай.ру,2015-05-11,"3,474,763"
Gaadi,2015-05-14,"4,261,179"
mSpy,2015-05-14,"699,793"
VNG,2015-05-19,"24,853,850"
Adult FriendFinder (2015),2015-05-21,"3,867,997"
Bitcoin Talk,2015-05-22,"501,407"
Minecraft Pocket Edition Forum,2015-05-24,"16,034"
Eroticy,2015-06-01,"1,370,175"
Minefield,2015-06-28,"188,343"
CheapAssGamer.com,2015-07-01,"444,767"
iPmart,2015-07-01,"2,460,787"
PS3Hax,2015-07-01,"447,410"
Qatar National Bank,2015-07-01,"88,678"
SvenskaMagic,2015-07-01,"30,327"
Plex,2015-07-02,"327,314"
Hacking Team,2015-07-06,"32,310"
myRepoSpace,2015-07-06,"252,751"
Hemmakväll,2015-07-08,"47,297"
WildStar,2015-07-11,"738,556"
Seedpeer,2015-07-12,"281,924"
Soundwave,2015-07-16,"130,705"
Ashley Madison,2015-07-19,"30,811,934"
Pokébip,2015-07-28,"657,001"
StoryBird,2015-08-07,"1,047,200"
MyVidster,2015-08-15,"19,863"
ClearVoice Surveys,2015-08-23,"15,074,786"
The Candid Board,2015-09-03,"178,201"
Experian (2015),2015-09-16,"7,196,890"
Final Fantasy Shrine,2015-09-18,"620,677"
PSP ISO,2015-09-25,"1,274,070"
WIIU ISO,2015-09-25,"458,155"
Xbox 360 ISO,2015-09-25,"1,296,959"
Patreon,2015-10-01,"2,330,382"
Special K Data Feed Spam List,2015-10-07,"30,741,620"
NetEase,2015-10-19,"234,842,089"
NapsGear,2015-10-21,"287,071"
MPGH,2015-10-22,"3,122,898"
Gamerzplanet,2015-10-23,"1,217,166"
Go Games,2015-10-24,"3,430,083"
PHP Freaks,2015-10-27,"173,891"
Mac-Torrents,2015-10-31,"93,992"
